table_name,column_name,is_nullable
businessunits,buid,NO
businessunits,buname,NO
businessunits,createdby,YES
businessunits,createddate,YES
businessunits,updatedby,YES
businessunits,updateddate,YES
equipment,equipid,NO
equipment,equiptypeid,NO
equipment,equipname,NO
equipment,equiplongdesc,YES
equipment,manufacturer,YES
equipment,model,YES
equipment,manfyear,YES
equipment,weblink,YES
equipment,serialnum,YES
equipment,equipweight,YES
equipment,installlocationid,YES
equipment,lat,YES
equipment,lon,YES
equipment,safetycritical,NO
equipment,statusid,NO
equipment,servicedatestart,YES
equipment,servicedateend,YES
equipment,createdby,YES
equipment,createddate,YES
equipment,updatedby,YES
equipment,updateddate,YES
equipmenttypes,equiptypeid,NO
equipmenttypes,equiptypename,NO
equipmenttypes,createdby,YES
equipmenttypes,createddate,YES
equipmenttypes,updatedby,YES
equipmenttypes,updateddate,YES
locations,locationid,NO
locations,loctypeid,NO
locations,locname,NO
locations,businessunit,YES
locations,facility,YES
locations,section,YES
locations,workcenter,YES
locations,locmgrid,YES
locations,latitude,YES
locations,longitude,YES
locations,address1,YES
locations,address2,YES
locations,city,YES
locations,state,YES
locations,zip,YES
locations,country,YES
locations,phone,YES
locations,fax,YES
locations,email,YES
locations,createdby,YES
locations,createddate,YES
locations,updatedby,YES
locations,updateddate,YES
locationtypes,loctypeid,NO
locationtypes,loctypename,NO
locationtypes,createdby,YES
locationtypes,createddate,YES
locationtypes,updatedby,YES
locationtypes,updateddate,YES
maintenance,maintid,NO
maintenance,mainttypeid,NO
maintenance,equipid,YES
maintenance,maintname,NO
maintenance,maintlongdesc,YES
maintenance,workorderid,YES
maintenance,efforthours,YES
maintenance,estcost,YES
maintenance,downtimereq,YES
maintenance,technicianid,YES
maintenance,responsibleid,YES
maintenance,requirespermit,YES
maintenance,statusid,NO
maintenance,planneddatestart,YES
maintenance,planneddateend,YES
maintenance,actualdatestart,YES
maintenance,actualdateend,YES
maintenance,createdby,YES
maintenance,createddate,YES
maintenance,updatedby,YES
maintenance,updateddate,YES
mainttypes,mainttypeid,NO
mainttypes,mainttypename,NO
mainttypes,createdby,YES
mainttypes,createddate,YES
mainttypes,updatedby,YES
mainttypes,updateddate,YES
statustypes,statusid,NO
statustypes,statusname,NO
statustypes,createdby,YES
statustypes,createddate,YES
statustypes,updatedby,YES
statustypes,updateddate,YES
